Country,2014 Male Visitors,2014 Female Visitors,2015 Male Visitors,2015 Female Visitors,2016 Male Visitors,2016 Female Visitors,2017 Male Visitors,2017 Female Visitors,2018 Male Visitors,2018 Female Visitors,2019 Male Visitors,2019 Female Visitors,2020 Male Visitors,2020 Female Visitors
Nepal,92284.0,34132.0,112946.0,41774.0,108418.0,52679.0,110548.0,53470.0,115774.0,58322.0,107282.0,56758.0,26249.0,14573.0
Pakistan,55064.0,41370.0,69708.0,55216.0,80425.0,24295.0,24169.0,20097.0,22871.0,18788.0,26571.0,12447.0,10263.0,3969.0
Sri Lanka,180659.0,120942.0,174616.0,124897.0,167744.0,129674.0,165457.0,138133.0,185684.0,168000.0,174033.0,156828.0,39128.0,29518.0
Indonesia,19007.0,13208.0,22462.0,12471.0,21366.0,13718.0,25372.0,18601.0,24840.0,22027.0,27096.0,23081.0,6756.0,5039.0
Malaysia,139398.0,122628.0,146842.0,126099.0,158831.0,143130.0,167828.0,154298.0,161182.0,157990.0,171304.0,163275.0,37709.0,32188.0
Myanmar,24748.0,29883.0,24737.0,30604.0,23890.0,27486.0,25571.0,31381.0,32204.0,43569.0,36734.0,50108.0,14166.0,21125.0
Philippines,23004.0,20236.0,26831.0,21081.0,28190.0,24502.0,27521.0,26442.0,24170.0,29303.0,25377.0,31016.0,9586.0,6466.0
Singapore,89534.0,61197.0,89973.0,62265.0,94939.0,68749.0,100587.0,75265.0,105192.0,78389.0,108351.0,81738.0,19796.0,13951.0
Thailand,53521.0,67841.0,53759.0,62101.0,51934.0,67729.0,0.0,0.0,66850.0,99443.0,68662.0,101294.0,22061.0,30565.0
Vietnam,7324.0,7808.0,7870.0,7471.0,8615.0,8113.0,10887.0,12884.0,13325.0,18102.0,14060.0,19576.0,3961.0,4867.0
China,114767.0,66253.0,131633.0,74689.0,158076.0,93237.0,157489.0,89746.0,177796.0,103972.0,214867.0,124575.0,21931.0,17655.0
Japan,110417.0,109099.0,112419.0,94996.0,153711.0,55136.0,162667.0,59860.0,172925.0,63311.0,172966.0,65937.0,32914.0,15277.0
Australia,138822.0,100940.0,152130.0,111071.0,167954.0,125672.0,184170.0,140073.0,195765.0,150721.0,206022.0,161219.0,48905.0,37853.0
New Zealand,23918.0,18946.0,24980.0,20191.0,28106.0,22811.0,30732.0,25865.0,33123.0,27541.0,35725.0,29826.0,9142.0,7511.0
